qid	docno	rel
0	2878	1
0	3088	1
0	3087	1
0	3092	0
0	3089	0
0	4957	1
0	2861	1
0	4952	0
0	3232	1
0	3405	1
0	4954	0
0	5517	0
0	5238	1
0	5110	0
0	5061	1
0	4956	0
0	3771	0
0	4955	1
0	3766	0
0	4958	0
0	2832	0
0	5157	1
0	4876	0
0	4538	0
0	2858	2
0	4621	0
0	3602	1
0	5065	0
0	3162	1
0	3494	0
0	3091	1
0	3747	0
0	4753	2
0	4960	1
0	4571	1
0	5043	2
0	4019	1
0	4959	0
0	3072	1
0	3410	0
0	4575	0
0	5165	1
0	4570	1
0	4234	0
0	4475	0
0	5035	2
0	5159	0
0	5070	2
0	5160	1
0	5496	0
0	3408	0
0	4474	0
0	2835	2
0	2922	1
0	3153	1
0	5079	2
0	3848	2
0	3849	2
0	4409	2
0	3157	1
0	2919	2
0	3850	2
0	5002	1
0	4410	2
0	5018	1
0	3851	2
0	5073	2
0	4385	1
0	4750	0
0	4819	2
0	4408	2
0	5015	1
0	3154	1
0	2879	0
0	5191	0
0	3411	1
0	2875	0
0	5075	2
0	2921	1
0	3789	0
0	5011	1
0	5112	1
0	4606	0
0	3094	1
0	5019	0
0	4045	0
0	2877	0
0	2933	1
0	4757	0
0	2931	1
0	4756	1
0	2855	0
0	5076	1
0	2882	0
0	4765	1
0	4572	1
0	2856	2
0	4752	1
0	5161	1
0	3612	1
0	4961	1
0	5020	1
0	4762	1
0	5064	1
0	4613	1
0	4268	0
0	3159	0
0	3847	1
0	3611	0
0	4751	1
0	5498	1
0	4473	1
0	5193	1
0	2926	0
0	3119	0
0	5063	1
0	5427	0
0	5009	2
0	5072	1
0	4466	0
0	2880	0
0	5000	0
0	5066	1
0	3184	1
0	3180	1
0	3409	0
1	3155	1
1	2859	1
1	3156	1
1	4794	1
1	5173	0
1	4651	2
1	4258	1
1	4170	0
1	4267	1
1	3929	1
1	4658	1
1	2958	1
1	3927	0
1	4313	0
1	3987	0
1	3012	0
1	3298	0
1	4697	1
1	4030	0
1	5501	0
1	5442	1
1	5430	1
1	4644	1
1	5381	1
1	4641	1
1	4683	2
1	5385	2
1	5431	1
1	3637	2
1	5428	1
1	4652	1
1	4262	1
1	4256	1
1	4268	1
1	5441	1
1	4299	2
1	4647	1
1	4260	1
1	2879	1
1	4263	1
1	5380	2
1	4649	1
1	2910	1
1	2882	1
1	4642	1
1	4643	1
1	4684	1
1	5429	1
1	4303	1
1	4640	1
1	4255	1
1	5388	1
1	2908	1
1	3008	1
1	5427	1
1	5101	1
1	2881	1
1	3009	2
1	5386	1
1	4257	1
1	4301	1
1	5440	1
1	2860	1
1	3525	1
1	4650	1
1	4685	1
1	5444	1
1	5100	1
1	3004	2
1	5105	1
1	2820	2
1	2907	1
1	4648	1
1	2880	1
1	4261	1
1	4297	2
1	3007	1
1	3006	2
1	5439	1
1	5436	1
1	4857	2
1	4293	1
1	4269	1
1	4701	2
1	4266	1
1	3011	1
1	4254	1
1	3199	2
1	5383	1
1	4292	1
1	3911	1
1	4298	1
1	5443	1
1	2822	2
1	4696	1
1	3635	2
1	4645	1
1	5433	1
1	4294	2
1	3005	2
1	5435	1
1	4265	2
1	3920	1
1	4873	1
1	5097	2
1	4358	1
1	5098	1
1	4434	1
1	4859	1
1	2909	1
1	3003	2
1	4296	1
1	4688	1
1	5104	1
1	5432	1
1	4177	1
1	5096	1
10	4628	0
10	3367	0
10	3072	0
10	3356	0
10	3361	0
10	5348	0
10	3364	0
10	4236	0
10	5452	0
10	3042	0
10	4064	0
10	3256	0
10	3422	0
10	3079	0
10	4234	0
10	3879	0
10	3963	0
10	5042	0
10	5148	0
10	5502	0
10	5203	0
10	3592	0
10	5504	0
10	3071	0
10	3301	0
10	5197	0
10	3362	0
10	3645	0
10	3883	0
10	4089	0
10	5410	0
10	5416	0
10	3571	0
10	4237	0
10	4238	0
10	4069	0
10	5465	0
10	3368	0
10	5461	0
10	4073	0
10	5412	0
10	4241	0
10	4397	0
10	3253	0
10	5469	0
10	3366	0
10	3737	0
10	4247	0
10	3354	0
10	3355	0
10	3363	0
10	3451	0
10	4176	0
10	5213	0
10	4096	0
10	3232	0
10	3236	0
10	3692	0
10	5080	0
10	3105	0
10	3217	0
10	3608	0
10	3697	0
10	3760	0
10	3837	0
10	4858	0
10	5351	0
10	3083	0
10	3086	0
10	3234	0
10	5328	0
10	5451	0
10	2827	0
10	3207	0
10	3281	0
10	3311	0
10	3350	0
10	3686	0
10	4253	0
10	4433	0
10	4517	0
10	4693	0
10	4896	0
10	2840	0
10	2855	0
10	3299	0
10	3698	0
10	3704	0
10	4943	0
10	4901	0
10	3720	0
10	4654	0
10	5567	0
10	5516	0
10	4483	0
10	3063	0
10	3310	0
10	3468	0
10	3699	0
10	5365	0
10	4590	0
10	2919	0
10	4428	0
10	4451	1
10	5467	0
10	5517	0
10	3194	0
10	5466	0
10	5456	0
10	4482	0
10	3195	0
10	3719	0
10	3725	0
10	3759	0
10	3765	0
10	3867	0
10	5218	0
10	5347	0
10	3095	0
10	4218	0
10	4150	2
10	4854	1
10	4154	2
10	4151	2
10	4142	1
10	4904	2
10	4912	1
10	4149	2
10	4851	1
10	4143	2
10	5560	2
10	4141	1
10	4155	2
10	3668	1
10	4147	1
10	4849	2
10	4911	2
10	2892	2
10	4188	0
10	4145	2
10	4905	2
10	3660	1
10	4910	2
10	4443	2
10	5565	1
10	5563	2
10	2853	2
10	5557	1
10	4903	1
10	4153	2
10	3885	0
10	3390	1
10	3900	0
10	5488	2
10	5555	1
10	4907	1
10	4906	2
10	4148	1
10	5559	1
10	4848	2
10	4855	2
10	3787	0
10	5552	1
10	3263	1
10	5553	1
10	3126	1
10	4441	2
10	4446	1
10	4158	0
10	4887	0
10	4913	1
10	4915	2
10	4850	2
10	5486	2
10	4909	2
10	3671	0
10	4442	1
10	3014	1
10	5551	1
10	3758	0
10	5245	0
10	3762	1
10	4357	0
10	5561	2
10	5320	0
10	5235	1
10	4449	0
10	3128	0
10	5290	0
10	3669	1
10	3269	0
10	5491	2
10	5483	1
10	4440	2
10	5321	1
10	5120	0
10	5564	1
10	5492	1
10	3134	1
10	3892	1
10	5114	0
10	3902	0
10	4609	0
10	3279	0
10	5326	0
10	2852	2
10	3373	0
10	4146	1
10	3012	0
10	4445	1
10	3270	1
10	4347	0
10	3371	0
10	3896	1
10	3763	1
10	5283	0
10	3712	0
10	4448	1
10	5116	0
11	3747	0
11	3813	1
11	4340	2
11	4726	1
11	3749	0
11	3834	1
11	4847	0
11	3884	0
11	3423	0
11	5313	1
11	3361	0
11	5317	0
11	4441	0
11	4345	1
11	4346	1
11	3766	0
11	5094	1
11	4877	1
11	3806	1
11	4067	0
11	4665	1
11	4669	0
11	4667	1
11	4666	1
11	4228	0
11	2877	1
11	3850	0
11	4794	1
11	5091	1
11	2875	0
11	3770	0
11	3802	1
11	5075	0
11	4065	0
11	4668	1
11	3897	0
11	5219	0
11	2933	1
11	3256	1
11	5188	0
11	2870	0
11	4936	0
11	3926	0
11	4409	0
11	3074	0
11	3798	0
11	5316	0
11	4670	1
11	4660	0
11	2930	1
11	5319	1
11	3623	1
11	3814	1
11	2926	0
11	5211	0
11	3618	1
11	3986	0
11	5318	1
11	2924	1
11	3852	0
11	5000	0
11	5067	0
11	5546	0
11	3027	0
11	4786	1
11	3257	0
11	3848	0
11	2835	0
11	4054	0
11	3395	1
11	4055	0
11	4476	0
11	4430	0
11	2844	1
11	3235	0
11	4999	0
11	4985	1
11	4344	1
11	3768	0
11	3851	0
11	4826	0
11	3031	0
11	4553	0
11	4433	0
11	4432	0
11	3376	0
11	5495	0
11	5260	0
11	5365	0
11	2952	0
