answer_type_name,choices,question,correct_answer,lang,source,choices_processed,topic,test_item_id
Single Choice,"[{'Mechanische Energie': 'false', 'Chemische Reaktionen': 'false', 'Elektrische Energie': 'true', 'Thermodynamik': 'false'}]",Was ist die Grundlage der Elektrotechnik?,Elektrische Energie,GERMAN,ChatGPT3.5,Mechanische Energie Chemische Reaktionen Elektrische Energie Thermodynamik,elektrotechnik,2812
Single Choice,"[{'Ein Computerprogramm': 'false', 'Eine Kombination von Schaltern': 'false', 'Ein System von elektrischen Komponenten und Leitungen': 'true', 'Ein chemischer Prozess': 'false'}]",Was ist eine elektrische Schaltung?,Ein System von elektrischen Komponenten und Leitungen,GERMAN,ChatGPT3.5,Ein Computerprogramm Eine Kombination von Schaltern Ein System von elektrischen Komponenten und Leitungen Ein chemischer Prozess,elektrotechnik,2813
Single Choice,"[{'U = R * I': 'true', 'F = m * a': 'false', 'E = mc^2': 'false', 'P = V * I': 'false'}]",Wie lautet das Ohmsche Gesetz?,U = R * I,GERMAN,ChatGPT3.5,U = R * I F = m * a E = mc^2 P = V * I,elektrotechnik,2814
Single Choice,"[{'Nur um Stromrechnungen zu senken': 'false', 'Um elektrische Geräte vor Überhitzung zu schützen': 'false', 'Um Unfälle und elektrische Schocks zu verhindern': 'true', 'Um das Licht in einem Raum einzuschalten': 'false'}]",Warum ist die elektrische Sicherheit wichtig?,Um Unfälle und elektrische Schocks zu verhindern,GERMAN,ChatGPT3.5,Nur um Stromrechnungen zu senken Um elektrische Geräte vor Überhitzung zu schützen Um Unfälle und elektrische Schocks zu verhindern Um das Licht in einem Raum einzuschalten,elektrotechnik,2815
Single Choice,"[{'Klare Botschaft und Struktur': 'true', 'Lange und komplizierte Sätze': 'false', 'Viele Animationen und Soundeffekte': 'false', 'Schlechter Blickkontakt': 'false'}]",Was ist ein wichtiger Aspekt einer erfolgreichen Präsentation?,Klare Botschaft und Struktur,GERMAN,ChatGPT3.5,Klare Botschaft und Struktur Lange und komplizierte Sätze Viele Animationen und Soundeffekte Schlechter Blickkontakt,visualisierungs- und präsentationstechniken,2816
Single Choice,"[{'Um Selbstvertrauen aufzubauen und Inhalte zu vermitteln': 'true', 'Um spontaner zu wirken': 'false', 'Um keine Zeit zu verschwenden': 'false', 'Um die Zuhörer zu verwirren': 'false'}]",Warum ist eine gründliche Vorbereitung vor einer Präsentation wichtig?,Um Selbstvertrauen aufzubauen und Inhalte zu vermitteln,GERMAN,ChatGPT3.5,Um Selbstvertrauen aufzubauen und Inhalte zu vermitteln Um spontaner zu wirken Um keine Zeit zu verschwenden Um die Zuhörer zu verwirren,berufliche rehabilitation,2817
Single Choice,"[{'Verwendung von Diagrammen und Grafiken': 'true', 'Langes Sprechen ohne visuelle Hilfsmittel': 'false', 'Verwendung von schwer verständlichen Fachbegriffen': 'false', 'Wiederholung der gleichen Informationen': 'false'}]",Was ist ein effektives Mittel zur Visualisierung von Informationen während einer Präsentation?,Verwendung von Diagrammen und Grafiken,GERMAN,ChatGPT3.5,Verwendung von Diagrammen und Grafiken Langes Sprechen ohne visuelle Hilfsmittel Verwendung von schwer verständlichen Fachbegriffen Wiederholung der gleichen Informationen,visualisierungs- und präsentationstechniken,2818
Single Choice,"[{'Um die Botschaft zu vermitteln und das Verständnis zu fördern': 'true', 'Um die Zuhörer zu verwirren': 'false', 'Um die Zeit zu verlängern': 'false', 'Um die eigenen Nerven zu beruhigen': 'false'}]",Warum ist eine klare Kommunikation während einer Präsentation entscheidend?,Um die Botschaft zu vermitteln und das Verständnis zu fördern,GERMAN,ChatGPT3.5,Um die Botschaft zu vermitteln und das Verständnis zu fördern Um die Zuhörer zu verwirren Um die Zeit zu verlängern Um die eigenen Nerven zu beruhigen,"kommunikation, verhandlung und etikette am arbeitsplatz",2819
Single Choice,"[{'Mittelwert': 'true', 'Median': 'false', 'Modus': 'false', 'Varianz': 'false'}]",Was ist der Durchschnitt aller Zahlen in einer gegebenen Datenreihe?,Mittelwert,GERMAN,ChatGPT3.5,Mittelwert Median Modus Varianz,grundlegende statistiken,2820
Single Choice,"[{'Normalverteilung (Gauß-Verteilung)': 'true', 'Exponentialverteilung': 'false', 'Poisson-Verteilung': 'false', 'Binomialverteilung': 'false'}]",Welche Verteilung ist symmetrisch und hat einen Median gleich dem Mittelwert?,Normalverteilung (Gauß-Verteilung),GERMAN,ChatGPT3.5,Normalverteilung (Gauß-Verteilung) Exponentialverteilung Poisson-Verteilung Binomialverteilung,grundlegende statistiken,2821
Single Choice,"[{'Modus': 'true', 'Median': 'false', 'Mittelwert': 'false', 'Varianz': 'false'}]","Was ist der Wert, der in einem Datensatz am häufigsten vorkommt?",Modus,GERMAN,ChatGPT3.5,Modus Median Mittelwert Varianz,grundlegende statistiken,2822
